Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Lithuania,LTU,..,..,..,..,..,..,11.1778373718262
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Luxembourg,LUX,..,..,..,..,..,..,9.88611888885498
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Macao SAR, China",MAC,..,..,..,..,..,..,10.8259086608887
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Madagascar,MDG,..,..,..,..,..,..,4.58331394195557
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Malawi,MWI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Malaysia,MYS,..,..,..,..,..,..,9.0842456817627
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Maldives,MDV,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Mali,MLI,..,..,..,..,..,..,3.04879665374756
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Malta,MLT,..,..,..,..,..,..,9.96637439727783
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Marshall Islands,MHL,..,..,..,..,..,..,4.87941694259644
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Mauritania,MRT,..,..,..,..,..,..,3.89531898498535
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Mauritius,MUS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Mexico,MEX,..,..,..,..,..,..,8.71205139160156
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,5.97188091278076
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Moldova,MDA,..,..,..,..,..,..,8.04489231109619
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Monaco,MCO,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Mongolia,MNG,..,..,..,..,..,..,9.1778450012207
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Montenegro,MNE,..,..,..,..,..,..,8.55782127380371
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Morocco,MAR,..,..,..,..,..,..,5.85772180557251
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Mozambique,MOZ,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Myanmar,MMR,..,..,..,..,..,..,6.56788396835327
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Namibia,NAM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Nauru,NRU,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Nepal,NPL,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Netherlands,NLD,..,..,..,..,..,..,11.6653747558594
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,New Caledonia,NCL,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,New Zealand,NZL,..,..,..,..,..,..,11.1735410690308
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Nicaragua,NIC,..,..,..,..,..,..,6.54145812988281
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Niger,NER,..,..,..,..,..,..,2.92918610572815
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Nigeria,NGA,..,..,..,..,..,..,5.09001493453979
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,North Macedonia,MKD,..,..,..,..,..,..,6.64861392974854
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Northern Mariana Islands,MNP,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Norway,NOR,..,..,..,..,..,..,11.092267036438
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Oman,OMN,..,..,..,..,..,..,8.20018100738525
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Pakistan,PAK,..,..,..,..,..,..,5.35901117324829
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Palau,PLW,..,..,..,..,..,..,7.9611759185791
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Panama,PAN,..,..,..,..,..,..,6.79558038711548
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Papua New Guinea,PNG,..,..,..,..,..,..,6.13268423080444
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Paraguay,PRY,..,..,..,..,..,..,7.05196571350098
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Peru,PER,..,..,..,..,..,..,8.55131912231445
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Philippines,PHL,..,..,..,..,..,..,7.98316478729248
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Poland,POL,..,..,..,..,..,..,11.4160194396973
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Portugal,PRT,..,..,..,..,..,..,11.649881362915
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Puerto Rico,PRI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Qatar,QAT,..,..,..,..,..,..,8.36434745788574
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Romania,ROU,..,..,..,..,..,..,8.48689937591553
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Russian Federation,RUS,..,..,..,..,..,..,11.7211236953735
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Rwanda,RWA,..,..,..,..,..,..,3.70426917076111
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Samoa,WSM,..,..,..,..,..,..,6.30175876617432
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,San Marino,SMR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sao Tome and Principe,STP,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Saudi Arabia,SAU,..,..,..,..,..,..,7.47254037857056
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Senegal,SEN,..,..,..,..,..,..,4.61424779891968
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Serbia,SRB,..,..,..,..,..,..,11.1363334655762
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Seychelles,SYC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sierra Leone,SLE,..,..,..,..,..,..,4.65239191055298
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Singapore,SGP,..,..,..,..,..,..,12.8658990859985
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Slovak Republic,SVK,..,..,..,..,..,..,10.0338258743286
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Slovenia,SVN,..,..,..,..,..,..,11.4347047805786
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Solomon Islands,SLB,..,..,..,..,..,..,4.77235412597656
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Somalia,SOM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,South Africa,ZAF,..,..,..,..,..,..,5.3231463432312
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,South Sudan,SSD,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Spain,ESP,..,..,..,..,..,..,10.5819721221924
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sri Lanka,LKA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,St. Kitts and Nevis,KNA,..,..,..,..,..,..,8.20849227905273
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,St. Lucia,LCA,..,..,..,..,..,..,7.84580230712891
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,St. Martin (French part),MAF,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,7.49322652816772
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sudan,SDN,..,..,..,..,..,..,4.28337383270264
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Suriname,SUR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sweden,SWE,..,..,..,..,..,..,11.5991678237915
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Switzerland,CHE,..,..,..,..,..,..,11.128888130188
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Syrian Arab Republic,SYR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Tajikistan,TJK,..,..,..,..,..,..,7.94444513320923
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Tanzania,TZA,..,..,..,..,..,..,4.33231830596924
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Thailand,THA,..,..,..,..,..,..,8.69326972961426
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Timor-Leste,TLS,..,..,..,..,..,..,6.03438806533813
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Togo,TGO,..,..,..,..,..,..,5.8188304901123
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Tonga,TON,..,..,..,..,..,..,6.41959953308105
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Trinidad and Tobago,TTO,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Tunisia,TUN,..,..,..,..,..,..,5.98687982559204
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Turkey,TUR,..,..,..,..,..,..,8.84084892272949
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Turkmenistan,TKM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Tuvalu,TUV,..,..,..,..,..,..,5.53873586654663
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Uganda,UGA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Ukraine,UKR,..,..,..,..,..,..,10.0858783721924
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,United Arab Emirates,ARE,..,..,..,..,..,..,9.63092231750488
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,United Kingdom,GBR,..,..,..,..,..,..,11.425371170044
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,United States,USA,..,..,..,..,..,..,10.728461265564
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Uruguay,URY,..,..,..,..,..,..,8.42920398712158
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Uzbekistan,UZB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Vanuatu,VUT,..,..,..,..,..,..,5.22655582427979
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Venezuela, RB",VEN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Vietnam,VNM,..,..,..,..,..,..,10.2907304763794
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,West Bank and Gaza,PSE,..,..,..,..,..,..,7.42366933822632
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Yemen, Rep.",YEM,..,..,..,..,..,..,4.52334213256836
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Zambia,ZMB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Zimbabwe,ZWE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Africa Western and Central,AFW,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Arab World,ARB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Caribbean small states,CSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Early-demographic dividend,EAR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,East Asia & Pacific,EAS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,East Asia & Pacific (IDA & IBRD),TEA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Euro area,EMU,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Europe & Central Asia,ECS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Europe & Central Asia (IDA & IBRD),TEC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,European Union,EUU,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,High income,HIC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,IBRD only,IBD,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,IDA & IBRD total,IBT,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,IDA blend,IDB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,IDA only,IDX,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,IDA total,IDA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Late-demographic dividend,LTE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Latin America & Caribbean,LCN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Latin America & Caribbean (IDA & IBRD),TLA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Low & middle income,LMY,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Low income,LIC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Lower middle income,LMC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Middle East & North Africa,MEA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Middle East & North Africa (IDA & IBRD),TMN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Middle income,MIC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,North America,NAC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,OECD members,OED,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Other small states,OSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Pacific island small states,PSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Post-demographic dividend,PST,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Pre-demographic dividend,PRE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Small states,SST,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,South Asia,SAS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Sub-Saharan Africa (IDA & IBRD),TSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Upper middle income,UMC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,World,WLD,..,..,..,..,..,..,..
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,
Last Updated: 06/23/2022,,,,,,,,,,
